Control Environment,CC1.1,,COSO Principle 1: The entity demonstrates a commitment to integrity and ethical values.,,
Control Environment,CC1.1,1,"Sets the Tone at the Top—The board of directors and management, at all levels, demonstrate through their directives, actions, and behavior the importance of integrity and ethical values to support the functioning of the system of internal control.",Policy Control - Employee Policy,
Control Environment,CC1.1,2,Establishes Standards of Conduct—The expectations of the board of directors and senior management concerning integrity and ethical values are defined in the entity’s standards of conduct and understood at all levels of the entity and by outsourced service providers and business partners.,Policy Control - Employee Policy,
Control Environment,CC1.1,3,Evaluates Adherence to Standards of Conduct—Processes are in place to evaluate the performance of individuals and teams against the entity’s expected standards of conduct.,Policy Control - Employee Policy,
Control Environment,CC1.1,4,Addresses Deviations in a Timely Manner—Deviations from the entity’s expected standards of conduct are identified and remedied in a timely and consistent manner.,Policy Control - Employee Policy,
Control Environment,CC1.1,5,"Considers Contractors and Vendor Employees in Demonstrating Its Commitment—Management and the board of directors consider the use of contractors and vendor employees in its processes for establishing standards of conduct, evaluating adherence to those standards, and addressing deviations in a timely manner. ",Policy Control - Employee Policy,
Control Environment,CC1.2,,COSO Principle 2: The board of directors demonstrates independence from management and exercises oversight of the development and performance of internal control.,,
Control Environment,CC1.2,1,Establishes Oversight Responsibilities—The board of directors identifies and accepts its oversight responsibilities in relation to established requirements and expectations.,,
Control Environment,CC1.2,2,"Applies Relevant Expertise—The board of directors defines, maintains, and periodically evaluates the skills and expertise needed among its members to enable them to ask probing questions of senior management and take commensurate action.",,
Control Environment,CC1.2,3,Operates Independently—The board of directors has sufficient members who are independent from management and objective in evaluations and decision making.,,
Control Environment,CC1.2,4,"Supplements Board Expertise—The board of directors supplements its expertise relevant to security, availability, processing integrity, confidentiality, and privacy, as needed, through the use of a subcommittee or consultants.",,
Control Environment,CC1.3,,"COSO Principle 3: Management establishes, with board oversight, structures, reporting lines, and appropriate authorities and responsibilities in the pursuit of objectives.",,
Control Environment,CC1.3,1,"Considers All Structures of the Entity—Management and the board of directors consider the multiple structures used (including operating units, legal entities, geographic distribution, and outsourced service providers) to support the achievement of objectives.",,
Control Environment,CC1.3,2,Establishes Reporting Lines—Management designs and evaluates lines of reporting for each entity structure to enable execution of authorities and responsibilities and flow of information to manage the activities of the entity.,,
Control Environment,CC1.3,3,"Defines, Assigns, and Limits Authorities and Responsibilities—Management and the board of directors delegate authority, define responsibilities, and use appropriate processes and technology to assign responsibility and segregate duties as necessary at the various levels of the organization.",,
Control Environment,CC1.3,4,"Addresses Specific Requirements When Defining Authorities and Responsibilities—Management and the board of directors consider requirements relevant to security, availability, processing integrity, confidentiality, and privacy when defining authorities and responsibilities. ",,
Control Environment,CC1.3,5,"Considers Interactions With External Parties When Establishing Structures, Reporting Lines, Authorities, and Responsibilities—Management and the board of directors consider the need for the entity to interact with and monitor the activities of external parties when establishing structures, reporting lines, authorities, and responsibilities. ",,
Control Environment,CC1.4,,"COSO Principle 4: The entity demonstrates a commitment to attract, develop, and retain competent individuals in alignment with objectives.",,
Control Environment,CC1.4,1,Establishes Policies and Practices—Policies and practices reflect expectations of competence necessary to support the achievement of objectives.,,
Control Environment,CC1.4,2,Evaluates Competence and Addresses Shortcomings—The board of directors and management evaluate competence across the entity and in outsourced service providers in relation to established policies and practices and act as necessary to address shortcomings.,,
Control Environment,CC1.4,3,"Attracts, Develops, and Retains Individuals—The entity provides the mentoring and training needed to attract, develop, and retain sufficient and competent personnel and outsourced service providers to support the achievement of objectives.",,
Control Environment,CC1.4,4,Plans and Prepares for Succession—Senior management and the board of directors develop contingency plans for assignments of responsibility important for internal control.,,
Control Environment,CC1.4,5,"Considers the Background of Individuals—The entity considers the background of potential and existing personnel, contractors, and vendor employees when determining whether to employ and retain the individuals. ",,
Control Environment,CC1.4,6,"Considers the Technical Competency of Individuals—The entity considers the technical competency of potential and existing personnel, contractors, and vendor employees when determining whether to employ and retain the individuals. ",,
Control Environment,CC1.4,7,"Provides Training to Maintain Technical Competencies— The entity provides training programs, including continuing education and training, to ensure skill sets and technical competency of existing personnel, contractors, and vendor employees are developed and maintained.",,
Control Environment,CC1.5,,COSO Principle 5: The entity holds individuals accountable for their internal control responsibilities in the pursuit of objectives.,,
Control Environment,CC1.5,1,"Enforces Accountability Through Structures, Authorities, and Responsibilities—Management and the board of directors establish the mechanisms to communicate and hold individuals accountable for performance of internal control responsibilities across the entity and implement corrective action as necessary.",,
Control Environment,CC1.5,2,"Establishes Performance Measures, Incentives, and Rewards—Management and the board of directors establish performance measures, incentives, and other rewards appropriate for responsibilities at all levels of the entity, reflecting appropriate dimensions of performance and expected standards of conduct, and considering the achievement of both short-term and longer-term objectives.",,
Control Environment,CC1.5,3,"Evaluates Performance Measures, Incentives, and Rewards for Ongoing Relevance—Management and the board of directors align incentives and rewards with the fulfillment of internal control responsibilities in the achievement of objectives.",,
Control Environment,CC1.5,4,"Considers Excessive Pressures—Management and the board of directors evaluate and adjust pressures associated with the achievement of objectives as they assign responsibilities, develop performance measures, and evaluate performance.",,
Control Environment,CC1.5,5,"Evaluates Performance and Rewards or Disciplines Individuals—Management and the board of directors evaluate performance of internal control responsibilities, including adherence to standards of conduct and expected levels of competence, and provide rewards or exercise disciplinary action, as appropriate.",,
Communication and Information,CC2.1,,"COSO Principle 13: The entity obtains or generates and uses relevant, quality information to support the functioning of internal control.",,
Communication and Information,CC2.1,1,Identifies Information Requirements—A process is in place to identify the information required and expected to support the functioning of the other components of internal control and the achievement of the entity’s objectives.,,
Communication and Information,CC2.1,2,Captures Internal and External Sources of Data—Information systems capture internal and external sources of data.,,
Communication and Information,CC2.1,3,Processes Relevant Data Into Information—Information systems process and transform relevant data into information.,,
Communication and Information,CC2.1,4,"Maintains Quality Throughout Processing—Information systems produce information that is timely, current, accurate, complete, accessible, protected, verifiable, and retained. Information is reviewed to assess its relevance in supporting the internal control components. ",,
Communication and Information,CC2.2,,"COSO Principle 14: The entity internally communicates information, including objectives and responsibilities for internal control, necessary to support the functioning of internal control.",,
Communication and Information,CC2.2,1,Communicates Internal Control Information—A process is in place to communicate required information to enable all personnel to understand and carry out their internal control responsibilities.,,
Communication and Information,CC2.2,2,Communicates With the Board of Directors—Communication exists between management and the board of directors so that both have information needed to fulfill their roles with respect to the entity’s objectives.,,
Communication and Information,CC2.2,3,"Provides Separate Communication Lines—Separate communication channels, such as whistle-blower hotlines, are in place and serve as fail-safe mechanisms to enable anonymous or confidential communication when normal channels are inoperative or ineffective.",,
Communication and Information,CC2.2,4,"Selects Relevant Method of Communication—The method of communication considers the timing, audience, and nature of the information.",,
Communication and Information,CC2.2,5,"Communicates Responsibilities—Entity personnel with responsibility for designing, developing, implementing, operating, maintaining, or monitoring system controls receive communications about their responsibilities, including changes in their responsibilities, and have the information necessary to carry out those responsibilities. ",,
Communication and Information,CC2.2,6,"Communicates Information on Reporting Failures, Incidents, Concerns, and Other Matters—Entity personnel are provided with information on how to report systems failures, incidents, concerns, and other complaints to personnel.",,
Communication and Information,CC2.2,7,Communicates Objectives and Changes to Objectives —The entity communicates its objectives and changes to those objectives to personnel in a timely manner. ,,
Communication and Information,CC2.2,8,Communicates Information to Improve Security Knowledge and Awareness—The entity communicates information to improve security knowledge and awareness and to model appropriate security behaviors to personnel through a security awareness training program. ,,
Communication and Information,CC2.2,9,Communicates Information About System Operation and Boundaries—The entity prepares and communicates information about the design and operation of the system and its boundaries to authorized personnel to enable them to understand their role in the system and the results of system operation.,,
Communication and Information,CC2.2,10,Communicates System Objectives—The entity communicates its objectives to personnel to enable them to carry out their responsibilities. ,,
Communication and Information,CC2.2,11,Communicates System Changes—System changes that affect responsibilities or the achievement of the entity's objectives are communicated in a timely manner. ,,
Communication and Information,CC2.3,,COSO Principle 15: The entity communicates with external parties regarding matters affecting the functioning of internal control.,,
Communication and Information,CC2.3,1,"Communicates to External Parties—Processes are in place to communicate relevant and timely information to external parties, including shareholders, partners, owners, regulators, customers, financial analysts, and other external parties.",,
Communication and Information,CC2.3,2,"Enables Inbound Communications—Open communication channels allow input from customers, consumers, suppliers, external auditors, regulators, financial analysts, and others, providing management and the board of directors with relevant information.",,
Communication and Information,CC2.3,3,Communicates With the Board of Directors—Relevant information resulting from assessments conducted by external parties is communicated to the board of directors.,,
Communication and Information,CC2.3,4,"Provides Separate Communication Lines—Separate communication channels, such as whistle-blower hotlines, are in place and serve as fail-safe mechanisms to enable anonymous or confidential communication when normal channels are inoperative or ineffective.",,
Communication and Information,CC2.3,5,"Selects Relevant Method of Communication—The method of communication considers the timing, audience, and nature of the communication and legal, regulatory, and fiduciary requirements and expectations. ",,
Communication and Information,CC2.3,6,"Communicates Objectives Related to Confidentiality and Changes to Objectives— The entity communicates, to external users, vendors, business partners and others whose products and services are part of the system, objectives and changes to objectives related to confidentiality.  ",,
Communication and Information,CC2.3,7,"Communicates Objectives Related to Privacy and Changes to Objectives—The entity communicates, to external users, vendors, business partners and others whose products and services are part of the system, objectives related to privacy and changes to those objectives. ",,
Communication and Information,CC2.3,8,Communicates Information About System Operation and Boundaries—The entity prepares and communicates information about the design and operation of the system and its boundaries to authorized external users to permit users to understand their role in the system and the results of system operation. ,,
Communication and Information,CC2.3,9,Communicates System Objectives—The entity communicates its system objectives to appropriate external users. ,,
Communication and Information,CC2.3,10,"Communicates System Responsibilities—External users with responsibility for designing, developing, implementing, operating, maintaining, and monitoring system controls receive communications about their responsibilities and have the information necessary to carry out those responsibilities.",,
Communication and Information,CC2.3,11,"Communicates Information on Reporting System Failures, Incidents, Concerns, and Other Matters—External users are provided with information on how to report systems failures, incidents, concerns, and other complaints to appropriate personnel. ",,
Risk Assessment,CC3.1,,COSO Principle 6: The entity specifies objectives with sufficient clarity to enable the identification and assessment of risks relating to objectives.,,
Risk Assessment,CC3.1,1,"Reflects Management's Choices—Operations objectives reflect management's choices about structure, industry considerations, and performance of the entity.",Policy Control - Risk Management Policy,
Risk Assessment,CC3.1,2,Considers Tolerances for Risk—Management considers the acceptable levels of variation relative to the achievement of operations objectives.,Policy Control - Risk Management Policy,
Risk Assessment,CC3.1,3,Includes Operations and Financial Performance Goals—The organization reflects the desired level of operations and financial performance for the entity within operations objectives.,Policy Control - Risk Management Policy,
Risk Assessment,CC3.1,4,Forms a Basis for Committing of Resources—Management uses operations objectives as a basis for allocating resources needed to attain desired operations and financial performance.,Policy Control - Risk Management Policy,
Risk Assessment,CC3.1,5,Complies With Applicable Accounting Standards—Financial reporting objectives are consistent with accounting principles suitable and available for that entity. The accounting principles selected are appropriate in the circumstances.,Policy Control - Risk Management Policy,
Risk Assessment,CC3.1,6,Considers Materiality—Management considers materiality in financial statement presentation.,Policy Control - Risk Management Policy,
Risk Assessment,CC3.1,7,Reflects Entity Activities—External reporting reflects the underlying transactions and events to show qualitative characteristics and assertions.,Policy Control - Risk Management Policy,
Risk Assessment,CC3.1,8,Complies With Externally Established Frameworks—Management establishes objectives consistent with laws and regulations or standards and frameworks of recognized external organizations.,Policy Control - Risk Management Policy,
Risk Assessment,CC3.1,9,Considers the Required Level of Precision—Management reflects the required level of precision and accuracy suitable for user needs and based on criteria established by third parties in nonfinancial reporting.,Policy Control - Risk Management Policy,
Risk Assessment,CC3.1,10,Reflects Entity Activities—External reporting reflects the underlying transactions and events within a range of acceptable limits.,Policy Control - Risk Management Policy,
Risk Assessment,CC3.1,11,Reflects Management's Choices—Internal reporting provides management with accurate and complete information regarding management's choices and information needed in managing the entity.,Policy Control - Risk Management Policy,
Risk Assessment,CC3.1,12,Considers the Required Level of Precision—Management reflects the required level of precision and accuracy suitable for user needs in nonfinancial reporting objectives and materiality within financial reporting objectives.,Policy Control - Risk Management Policy,
Risk Assessment,CC3.1,13,Reflects Entity Activities—Internal reporting reflects the underlying transactions and events within a range of acceptable limits.,Policy Control - Risk Management Policy,
Risk Assessment,CC3.1,14,"Reflects External Laws and Regulations—Laws and regulations establish minimum standards of conduct, which the entity integrates into compliance objectives.",Policy Control - Risk Management Policy,
Risk Assessment,CC3.1,15,Considers Tolerances for Risk—Management considers the acceptable levels of variation relative to the achievement of operations objectives.,Policy Control - Risk Management Policy,
Risk Assessment,CC3.1,16,"Establishes Sub-objectives to Support Objectives—Management identifies sub-objectives related to security, availability, processing integrity, confidentiality, and privacy to support the achievement of the entity’s objectives related to reporting, operations, and compliance.",Policy Control - Risk Management Policy,
Logical and Physical Access Controls,CC6.1,,"The entity implements logical access security software, infrastructure, and architectures over protected information assets to protect them from security events to meet the entity’s objectives",,
Logical and Physical Access Controls,CC6.1,1,"Identifies and Manages the Inventory of Information Assets—The entity identifies, inventories, classifies, and manages information assets.  ",Policy Control - System Access Policy,Compliance Scanning - Detect access control issues across cloud services
Logical and Physical Access Controls,CC6.1,2,"Restricts Logical Access—Logical access to information assets, including hardware, data (at-rest, during processing, or in transmission), software, administrative authorities, mobile devices, output, and offline system components is restricted through the use of access control software and rule sets. ",Policy Control - System Access Policy,Compliance Scanning - Detect unrestricted cloud resources and open ports
Logical and Physical Access Controls,CC6.1,3,"Identifies and Authenticates Users—Persons, infrastructure and software are identified and authenticated prior to accessing information assets, whether locally or remotely. ",Policy Control - System Access Policy,"Compliance Scanning - Detect cloud user, role, and permission issues"
Logical and Physical Access Controls,CC6.1,4,Considers Network Segmentation—Network segmentation permits unrelated portions of the entity's information system to be isolated from each other. ,Policy Control - System Access Policy,Compliance Scanning - Determine network and resource security rule issues
Logical and Physical Access Controls,CC6.1,5,"Manages Points of Access—Points of access by outside entities and the types of data that flow through the points of access are identified, inventoried, and managed. The types of individuals and systems using each point of access are identified, documented, and managed. ",Policy Control - System Access Policy,Compliance Scanning - Determine network and resource security rule issues
Logical and Physical Access Controls,CC6.1,6,"Restricts Access to Information Assets—Combinations of data classification, separate data structures, port restrictions, access protocol restrictions, user identification, and digital certificates are used to establish access control rules for information assets.  ",Policy Control - System Access Policy,Compliance Scanning - Determine network and resource security rule issues
Logical and Physical Access Controls,CC6.1,7,"Manages Identification and Authentication—Identification and authentication requirements are established, documented, and managed for individuals and systems accessing entity information, infrastructure and software.",Policy Control - System Access Policy,Compliance Scanning - Detect user password and access key rotation and issues
Logical and Physical Access Controls,CC6.1,8,"Manages Credentials for Infrastructure and Software—New internal and external infrastructure and software  are registered, authorized, and documented prior to being granted access credentials and implemented on the network or access point. Credentials are removed and access is disabled when access is no longer required or the infrastructure and software are no longer in use. ",Policy Control - System Access Policy,"Compliance Scanning - Detect insecure or unrotated access keys, weak password standards"
Logical and Physical Access Controls,CC6.1,9,"Uses Encryption to Protect Data—The entity uses encryption to supplement other measures used to protect data-at-rest, when such protections are deemed appropriate based on assessed risk.",Policy Control - Data Integrity Policy,"Compliance Scanning - Detect cloud resource encryption ""at-rest"" and ""in-transit"""
Logical and Physical Access Controls,CC6.1,10,"Protects Encryption Keys—Processes are in place to protect encryption keys during generation, storage, use, and destruction.",Policy Control - Data Integrity Policy,Compliance Scanning - Detect cloud resource encryption issues
Logical and Physical Access Controls,CC6.6 ,,The entity implements logical access security measures to protect against threats from sources outside its system boundaries.,,
Logical and Physical Access Controls,CC6.6 ,1,"Restricts Access—The types of activities that can occur through a communication channel (for example, FTP site, router port) are restricted. ",Policy Control - System Access Policy,Compliance Scanning - Detect unrestricted cloud resources and open ports
Logical and Physical Access Controls,CC6.6,2,Protects Identification and Authentication Credentials—Identification and authentication credentials are protected during transmission outside its system boundaries.,Policy Control - System Access Policy,Compliance Scanning - Detect access control issues across cloud services
Logical and Physical Access Controls,CC6.6,3,Requires Additional Authentication or Credentials—Additional authentication information or credentials are required when accessing the system from outside its boundaries.,Policy Control - System Access Policy,Compliance Scanning - Detect access control issues across cloud services
Logical and Physical Access Controls,CC6.6,4,"Implements Boundary Protection Systems—Boundary protection systems (for example, firewalls, demilitarized zones, and intrusion detection systems) are implemented to protect external access points from attempts and unauthorized access and are monitored to detect such attempts.",Policy Control - System Access Policy,Compliance Scanning - Detect access control issues across cloud services
System Operations,CC7.1,,"To meet its objectives, the entity uses detection and monitoring procedures to identify (1) changes to configurations that result in the introduction of new vulnerabilities, and (2) susceptibilities to newly discovered vulnerabilities.",,
System Operations,CC7.1,1,Uses Defined Configuration Standards—Management has defined configuration standards. ,Policy Control - Configuration Management Policy,Compliance Scanning - Dash Continuous Compliance Monitoring Standards
System Operations,CC7.1,2,"Monitors Infrastructure and Software—The entity monitors infrastructure and software for noncompliance with the standards, which could threaten the achievement of the entity's objectives.  ",Policy Control - Configuration Management Policy,Compliance Scanning - Dash Continuous Compliance Monitoring
System Operations,CC7.1,3,"Implements Change-Detection Mechanisms—The IT system includes a change-detection mechanism (for example, file integrity monitoring tools) to alert personnel to unauthorized modifications of critical system files, configuration files, or content files. ",Policy Control - Configuration Management Policy,Compliance Scanning - Detect when audit logging is not enabled across cloud resources
System Operations,CC7.1,4,Detects Unknown or Unauthorized Components—Procedures are in place to detect the introduction of unknown or unauthorized components.  ,Policy Control - Configuration Management Policy,Compliance Scanning - Detect cloud service anomalies
System Operations,CC7.1,5,Conducts Vulnerability Scans—The entity conducts vulnerability scans designed to identify potential vulnerabilities or misconfigurations on a periodic basis and after any significant change in the environment and takes action to remediate identified deficiencies on a timely basis.,Policy Control - Intrusion Detection System (IDS) Policy,Compliance Scanning - Dash Continuous Compliance Monitoring
Additional Criteria For Availability,A1.2,,"The entity authorizes, designs, develops or acquires, implements, operates, approves, maintains, and monitors environmental protections, software, data back-up processes, and recovery infrastructure to meet its objectives.",,
Additional Criteria For Availability,A1.2,1,"Identifies Environmental Threats—As part of the risk assessment process, management identifies environmental threats that could impair the availability of the system, including threats resulting from adverse weather, failure of environmental control systems, electrical discharge, fire, and water.  ",Policy Control - Facility Access Policy,Compliance Scanning - Detect inadequate cloud service backup settings
Additional Criteria For Availability,A1.2,2,Designs Detection Measures—Detection measures are implemented to identify anomalies that could result from environmental threat events. ,Policy Control - Disaster Recovery Policy,Compliance Scanning - Detect inadequate cloud service backup settings
Additional Criteria For Availability,A1.2,3,Implements and Maintains Environmental Protection Mechanisms— Management implements and maintains environmental protection mechanisms to prevent and mitigate against environmental events.  ,Policy Control - Facility Access Policy,
Additional Criteria For Availability,A1.2,4,Implements Alerts to Analyze Anomalies—Management implements alerts that are communicated to personnel for analysis to identify environmental threat events.,Policy Control - Disaster Recovery Policy,Compliance Scanning - Detect audit logging settings and issues
Additional Criteria For Availability,A1.2,5,"Responds to Environmental Threat Events—Procedures are in place for responding to environmental threat events and for evaluating the effectiveness of those policies and procedures on a periodic basis. This includes automatic mitigation systems (for example, uninterruptable power system and generator back-up subsystem).",Policy Control - Facility Access Policy + Disaster Recovery Policy,
Additional Criteria For Availability,A1.2,6,"Communicates and Reviews Detected Environmental Threat Events—Detected environmental threat events are communicated to and reviewed by the individuals responsible for the management of the system, and actions are taken, if necessary.",Policy Control - Facility Access Policy + Disaster Recovery Policy,
Additional Criteria For Availability,A1.2,7,Determines Data Requiring Backup—Data is evaluated to determine whether backup is required. ,Policy Control - Disaster Recovery Policy,Compliance Scanning - Detect inadequate cloud service backup settings
Additional Criteria For Availability,A1.2,8,"Performs Data Backup—Procedures are in place for backing up data, monitoring to detect back-up failures, and initiating corrective action when such failures occur. ",Policy Control - Disaster Recovery Policy,Compliance Scanning - Detect inadequate cloud service backup settings
Additional Criteria For Availability,A1.2,9,Addresses Offsite Storage—Back-up data is stored in a location at a distance from its principal storage location sufficient that the likelihood of a security or environmental threat event affecting both sets of data is reduced to an appropriate level.  ,Policy Control - Disaster Recovery Policy,
Additional Criteria For Availability,A1.2,10,Implements Alternate Processing Infrastructure—Measures are implemented for migrating processing to alternate infrastructure in the event normal processing infrastructure becomes unavailable.  ,Policy Control - Disaster Recovery Policy,
Additional Criteria For Processing Integrity,PI1.5,,"The entity implements policies and procedures to store inputs, items in processing, and outputs completely, accurately, and timely in accordance with system specifications to meet the entity’s objectives.",,
Additional Criteria For Processing Integrity,PI1.5,1,"Protects Stored Items—Stored items are protected to prevent theft, corruption, destruction, or deterioration that would prevent output from meeting specifications.",Policy Control - Disaster Recovery Policy,Compliance Scanning - Detect cloud service access and backup settings
Additional Criteria For Processing Integrity,PI1.5,2,"Archives and Protects System Records—System records are archived, and archives are protected against theft, corruption, destruction, or deterioration that would prevent them from being used. ",Policy Control - Disaster Recovery Policy,Compliance Scanning - Detect cloud service access and backup settings
Additional Criteria For Processing Integrity,PI1.5,3,"Stores Data Completely and Accurately—Procedures are in place to provide for the complete, accurate, and timely storage of data. ",Policy Control - Disaster Recovery Policy,Compliance Scanning - Detect cloud service availability and backup settings
Additional Criteria For Processing Integrity,PI1.5,4,Creates and Maintains Records of System Storage Activities—Records of system storage activities are created and maintained completely and accurately in a timely manner.,Policy Control - Disaster Recovery Policy,
